Breakfast,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G)
"2 Ct Chick-n-Strips® Kid's Meal




							91g
						

							200
						

							9
						

							2
						

							0
						

							50
						

							580
						

							11
						

							0
						

							1
						

							19
						






										2 ct Chick-fil-A Chick-n-Strips®



									91g
								

									200
								

									9
								

									2
								

									0
								

									50
								

									580
								

									11
								

									0
								

									1
								

									19
								




										Kid's Meal Sides
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Prize
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Meal Beverages
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0",2 Ct Chick-n-Strips® Kid's Meal,91g,200,9,2,0,50,580,11,0,1
2 Ct Chick-n-Strips® Kid's Meal,91g,200,9,2,0,50,580,11,0,1,19
2 ct Chick-fil-A Chick-n-Strips®,91g,200,9,2,0,50,580,11,0,1,19
Kid's Meal Sides,0g,0,0,0,0,0,0,0,0,0,0
Prize,0g,0,0,0,0,0,0,0,0,0,0
Meal Beverages,0g,0,0,0,0,0,0,0,0,0,0
"5 Ct Grilled Nuggets Kid's Meal




							59g
						

							80
						

							2
						

							0
						

							0
						

							55
						

							270
						

							1
						

							0
						

							0
						

							16
						






										5 ct Grilled Nuggets
									


									59g
								

									80
								

									2
								

									0
								

									0
								

									55
								

									270
								

									1
								

									0
								

									0
								

									16
								




										Kid's Meal Sides
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Prize
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Meal Beverages
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0",5 Ct Grilled Nuggets Kid's Meal,59g,80,2,0,0,55,270,1,0,0
5 Ct Grilled Nuggets Kid's Meal,59g,80,2,0,0,55,270,1,0,0,16
5 ct Grilled Nuggets,59g,80,2,0,0,55,270,1,0,0,16
Kid's Meal Sides,0g,0,0,0,0,0,0,0,0,0,0
Prize,0g,0,0,0,0,0,0,0,0,0,0
Meal Beverages,0g,0,0,0,0,0,0,0,0,0,0

"5 Ct Nuggets Kid's Meal




							71g
						

							160
						

							7
						

							1.5
						

							0
						

							50
						

							760
						

							7
						

							0
						

							1
						

							17
						






										5 ct Chick-fil-A® Nuggets
									


									71g
								

									160
								

									7
								

									1.5
								

									0
								

									50
								

									760
								

									7
								

									0
								

									1
								

									17
								




										Kid's Meal Sides
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Prize
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Meal Beverages
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0",5 Ct Nuggets Kid's Meal,71g,160,7,1.5,0,50,760,7,0,1
5 Ct Nuggets Kid's Meal,71g,160,7,1.5,0,50,760,7,0,1,17
5 ct Chick-fil-A® Nuggets,71g,160,7,1.5,0,50,760,7,0,1,17
Kid's Meal Sides,0g,0,0,0,0,0,0,0,0,0,0
Prize,0g,0,0,0,0,0,0,0,0,0,0
Meal Beverages,0g,0,0,0,0,0,0,0,0,0,0
"2 Ct Chick-n-Strips® Kid's Meal




							91g
						

							200
						

							9
						

							2
						

							0
						

							50
						

							580
						

							11
						

							0
						

							1
						

							19
						






										2 ct Chick-fil-A Chick-n-Strips®



									91g
								

									200
								

									9
								

									2
								

									0
								

									50
								

									580
								

									11
								

									0
								

									1
								

									19
								




										Kid's Meal Sides
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Prize
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Meal Beverages
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0",2 Ct Chick-n-Strips® Kid's Meal,91g,200,9,2,0,50,580,11,0,1
2 Ct Chick-n-Strips® Kid's Meal,91g,200,9,2,0,50,580,11,0,1,19
2 ct Chick-fil-A Chick-n-Strips®,91g,200,9,2,0,50,580,11,0,1,19
Kid's Meal Sides,0g,0,0,0,0,0,0,0,0,0,0
Prize,0g,0,0,0,0,0,0,0,0,0,0
Meal Beverages,0g,0,0,0,0,0,0,0,0,0,0
"5 Ct Grilled Nuggets Kid's Meal




							59g
						

							80
						

							2
						

							0
						

							0
						

							55
						

							270
						

							1
						

							0
						

							0
						

							16
						






										5 ct Grilled Nuggets
									


									59g
								

									80
								

									2
								

									0
								

									0
								

									55
								

									270
								

									1
								

									0
								

									0
								

									16
								




										Kid's Meal Sides
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Prize
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								




										Meal Beverages
									


									0g
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0
								

									0",5 Ct Grilled Nuggets Kid's Meal,59g,80,2,0,0,55,270,1,0,0
5 Ct Grilled Nuggets Kid's Meal,59g,80,2,0,0,55,270,1,0,0,16
5 ct Grilled Nuggets,59g,80,2,0,0,55,270,1,0,0,16
Kid's Meal Sides,0g,0,0,0,0,0,0,0,0,0,0
Prize,0g,0,0,0,0,0,0,0,0,0,0
Meal Beverages,0g,0,0,0,0,0,0,0,0,0,0

"Frosted Lemonade




							383g
						

							320
						

							6
						

							3.5
						

							0
						

							25
						

							120
						

							65
						

							0
						

							63
						

							6
						






										Frosted Lemonade
									


									383g
								

									320
								

									6
								

									3.5
								

									0
								

									25
								

									120
								

									65
								

									0
								

									63
								

									6
								




										Frosted Lemonade w/ Diet Lemonade
									


									383g
								

									250
								

									6
								

									3.5
								

									0
								

									25
								

									125
								

									46
								

									0
								

									43
								

									6",Frosted Lemonade,383g,320,6,3.5,0,25,120,65,0,63
Frosted Lemonade,383g,320,6,3.5,0,25,120,65,0,63,6
Frosted Lemonade,383g,320,6,3.5,0,25,120,65,0,63,6
Frosted Lemonade w/ Diet Lemonade,383g,250,6,3.5,0,25,125,46,0,43,6
"Frosted Coffee




							383g
						

							230
						

							6
						

							3.5
						

							0
						

							25
						

							125
						

							39
						

							0
						

							39
						

							6
						






										Frosted Coffee
									


									383g
								

									230
								

									6
								

									3.5
								

									0
								

									25
								

									125
								

									39
								

									0
								

									39
								

									6
								




										Frosted Peppermint Chip Coffee
									


									428g
								

									430
								

									9
								

									6
								

									0
								

									25
								

									170
								

									83
								

									1
								

									68
								

									7",Frosted Coffee,383g,230,6,3.5,0,25,125,39,0,39
Frosted Coffee,383g,230,6,3.5,0,25,125,39,0,39,6
Frosted Coffee,383g,230,6,3.5,0,25,125,39,0,39,6
Frosted Peppermint Chip Coffee,428g,430,9,6,0,25,170,83,1,68,7
"Chocolate Chunk Cookie




							78g
						

							370
						

							17
						

							9
						

							0
						

							15
						

							230
						

							49
						

							3
						

							26
						

							5
						






										Chocolate Chunk Cookie
									


									78g
								

									370
								

									17
								

									9
								

									0
								

									15
								

									230
								

									49
								

									3
								

									26
								

									5
								




										6 pack Chocolate Chunk Cookie
									


									78g
								

									370
								

									17
								

									9
								

									0
								

									15
								

									230
								

									49
								

									3
								

									26
								

									5",Chocolate Chunk Cookie,78g,370,17,9,0,15,230,49,3,26
Chocolate Chunk Cookie,78g,370,17,9,0,15,230,49,3,26,5
Chocolate Chunk Cookie,78g,370,17,9,0,15,230,49,3,26,5
6 pack Chocolate Chunk Cookie,78g,370,17,9,0,15,230,49,3,26,5
"Chocolate Fudge Brownie




							85g
						

							370
						

							21
						

							8
						

							0
						

							65
						

							140
						

							47
						

							2
						

							35
						

							4",Chocolate Fudge Brownie,85g,370,21,8,0,65,140,47,2,35
Chocolate Fudge Brownie,85g,370,21,8,0,65,140,47,2,35,4
"Peppermint Chip Milkshake




							404g
						

							670
						

							23
						

							15
						

							1
						

							80
						

							360
						

							109
						

							1
						

							94
						

							11
						






										Peppermint Chip Milkshake
									


									404g
								

									670
								

									23
								

									15
								

									1
								

									80
								

									360
								

									109
								

									1
								

									94
								

									11",Peppermint Chip Milkshake,404g,670,23,15,1,80,360,109,1,94
Peppermint Chip Milkshake,404g,670,23,15,1,80,360,109,1,94,11
Peppermint Chip Milkshake,404g,670,23,15,1,80,360,109,1,94,11
"Cookies & Cream Milkshake




							411g
						

							630
						

							26
						

							15
						

							1
						

							90
						

							440
						

							90
						

							1
						

							84
						

							13
						






										Cookies & Cream Milkshake
									


									411g
								

									630
								

									26
								

									15
								

									1
								

									90
								

									440
								

									90
								

									1
								

									84
								

									13",Cookies & Cream Milkshake,411g,630,26,15,1,90,440,90,1,84
Cookies & Cream Milkshake,411g,630,26,15,1,90,440,90,1,84,13
Cookies & Cream Milkshake,411g,630,26,15,1,90,440,90,1,84,13
"Chocolate Milkshake




							399g
						

							590
						

							22
						

							14
						

							1
						

							85
						

							360
						

							90
						

							1
						

							87
						

							12
						






										Chocolate Milkshake
									


									399g
								

									590
								

									22
								

									14
								

									1
								

									85
								

									360
								

									90
								

									1
								

									87
								

									12",Chocolate Milkshake,399g,590,22,14,1,85,360,90,1,87
Chocolate Milkshake,399g,590,22,14,1,85,360,90,1,87,12
Chocolate Milkshake,399g,590,22,14,1,85,360,90,1,87,12
"Strawberry Milkshake




							412g
						

							590
						

							20
						

							13
						

							0.5
						

							80
						

							410
						

							93
						

							1
						

							88
						

							11
						






										Strawberry Milkshake
									


									412g
								

									590
								

									20
								

									13
								

									0.5
								

									80
								

									410
								

									93
								

									1
								

									88
								

									11",Strawberry Milkshake,412g,590,20,13,0.5,80,410,93,1,88
Strawberry Milkshake,412g,590,20,13,0.5,80,410,93,1,88,11
Strawberry Milkshake,412g,590,20,13,0.5,80,410,93,1,88,11
"Vanilla Milkshake




							409g
						

							580
						

							23
						

							15
						

							1
						

							90
						

							390
						

							82
						

							1
						

							80
						

							13
						






										Vanilla Milkshake
									


									409g
								

									580
								

									23
								

									15
								

									1
								

									90
								

									390
								

									82
								

									1
								

									80
								

									13",Vanilla Milkshake,409g,580,23,15,1,90,390,82,1,80
Vanilla Milkshake,409g,580,23,15,1,90,390,82,1,80,13
Vanilla Milkshake,409g,580,23,15,1,90,390,82,1,80,13
"Chick-fil-A® Icedream® Cone




							135g
						

							180
						

							4
						

							2.5
						

							0
						

							15
						

							90
						

							32
						

							0
						

							25
						

							4",Chick-fil-A® Icedream® Cone,135g,180,4,2.5,0,15,90,32,0,25
Chick-fil-A® Icedream® Cone,135g,180,4,2.5,0,15,90,32,0,25,4
"Chick-fil-A® Icedream® Cup




							122g
						

							140
						

							3.5
						

							2.5
						

							0
						

							15
						

							75
						

							24
						

							0
						

							24
						

							4
						






										Chick-fil-A® Icedream® Cup
									


									122g
								

									140
								

									3.5
								

									2.5
								

									0
								

									15
								

									75
								

									24
								

									0
								

									24
								

									4",Chick-fil-A® Icedream® Cup,122g,140,3.5,2.5,0,15,75,24,0,24
Chick-fil-A® Icedream® Cup,122g,140,3.5,2.5,0,15,75,24,0,24,4
Chick-fil-A® Icedream® Cup,122g,140,3.5,2.5,0,15,75,24,0,24,4
